Name,Type,Departure,Duration,Arrival,Rating,Cost,Seats_avail,route,ID,seats,AC/Non AC,Sleeper/Seater,Private/Public,Pickup,Drop
Arya Travels,A/C Sleeper (2+1),23:59,05h 31m,05:30,4.7,695,23 Seats available,Kozhikode_to_Ernakulam,206,23,AC,Sleeper,Private,Kozhikode,Ernakulam
Kalpaka Travels 1,A/C Sleeper (2+1),23:59,06h 01m,06:00,4.3,800,23 Seats available,Kozhikode_to_Ernakulam,207,23,AC,Sleeper,Private,Kozhikode,Ernakulam
Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,06h 01m,06:00,4.5,680,23 Seats available,Kozhikode_to_Ernakulam,208,23,AC,Sleeper,Private,Kozhikode,Ernakulam
SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,05h 56m,05:55,4.1,799,23 Seats available,Kozhikode_to_Ernakulam,209,23,AC,Sleeper,Private,Kozhikode,Ernakulam
KSRTC (Kerala) - 708,Super Fast Non AC Seater (2+3),16:00,06h 40m,22:40,4.7,293,8 Seats available,Kozhikode_to_Mysore,210,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 898,Super Fast Non AC Seater (2+3),16:30,05h 45m,22:15,4.1,288,8 Seats available,Kozhikode_to_Mysore,211,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,06h 45m,00:45,3.7,459,8 Seats available,Kozhikode_to_Mysore,212,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,07h 00m,02:05,4.0,596,8 Seats available,Kozhikode_to_Mysore,213,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 1583,Swift Deluxe Non AC Air Bus (2+2),20:00,06h 30m,02:30,4.0,474,8 Seats available,Kozhikode_to_Mysore,214,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,06h 50m,03:50,4.0,453,8 Seats available,Kozhikode_to_Mysore,215,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 1584,Swift Deluxe Non AC Air Bus (2+2),21:30,06h 25m,03:55,4.1,474,8 Seats available,Kozhikode_to_Mysore,216,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:00,06h 35m,04:35,4.4,474,8 Seats available,Kozhikode_to_Mysore,217,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 719,Super Fast Non AC Seater (2+3),23:00,06h 40m,05:40,3.3,348,8 Seats available,Kozhikode_to_Mysore,218,8,AC,Seater,Public,Kozhikode,Mysore
KSRTC (Kerala) - 96,Swift Deluxe Non AC Air Bus (2+2),23:50,04h 55m,04:45,2.4,390,8 Seats available,Kozhikode_to_Mysore,219,8,AC,Seater,Public,Kozhikode,Mysore
Bharathi Travels,A/C Sleeper (2+1),15:00,06h 00m,21:00,3.1,801,8 Seats available,Kozhikode_to_Mysore,220,8,AC,Sleeper,Private,Kozhikode,Mysore
NS Transports,NON A/C Semi Sleeper / Sleeper (2+1),19:30,07h 00m,02:30,4.2,739,8 Seats available,Kozhikode_to_Mysore,221,8,AC,Sleeper,Private,Kozhikode,Mysore
A1 Travels,A/C Seater / Sleeper (2+1),20:00,08h 00m,04:00,4.4,600,8 Seats available,Kozhikode_to_Mysore,222,8,AC,Sleeper,Private,Kozhikode,Mysore
SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),20:00,07h 00m,03:00,3.5,599,8 Seats available,Kozhikode_to_Mysore,223,8,AC,Sleeper,Private,Kozhikode,Mysore
National travels and logistics,NON A/C Sleeper (2+1),20:45,07h 15m,04:00,3.8,599,8 Seats available,Kozhikode_to_Mysore,224,8,AC,Sleeper,Private,Kozhikode,Mysore
Suraj Holidays,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,3.7,750,8 Seats available,Kozhikode_to_Mysore,225,8,AC,Sleeper,Private,Kozhikode,Mysore
SAAM BUS,A/C Seater / Sleeper (2+1),21:15,06h 45m,04:00,3.9,750,8 Seats available,Kozhikode_to_Mysore,226,8,AC,Sleeper,Private,Kozhikode,Mysore
National travels and logistics,A/C Sleeper (2+1),21:00,06h 15m,03:15,3.8,699,8 Seats available,Kozhikode_to_Mysore,227,8,AC,Sleeper,Private,Kozhikode,Mysore
SAAM BUS,VE A/C Sleeper (2+1),20:30,07h 30m,04:00,3.9,850,8 Seats available,Kozhikode_to_Mysore,228,8,AC,Sleeper,Private,Kozhikode,Mysore
A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,06h 15m,04:00,3.8,550,8 Seats available,Kozhikode_to_Mysore,229,8,AC,Sleeper,Private,Kozhikode,Mysore
DA Transports,A/C Sleeper (2+1),21:50,06h 40m,04:30,3.4,799,8 Seats available,Kozhikode_to_Mysore,230,8,AC,Sleeper,Private,Kozhikode,Mysore
A1 Travels,A/C Seater / Sleeper (2+1),22:30,05h 45m,04:15,4.4,750,8 Seats available,Kozhikode_to_Mysore,231,8,AC,Sleeper,Private,Kozhikode,Mysore
CITI TOURS,Bharat Benz A/C Sleeper (2+1),00:15,06h 00m,06:15,,800,8 Seats available,Kozhikode_to_Mysore,232,8,AC,Sleeper,Private,Kozhikode,Mysore
Orange Tours and Travels,Bharat Benz A/C Sleeper (2+1),14:45,05h 45m,20:30,,600,8 Seats available,Kozhikode_to_Mysore,233,8,AC,Sleeper,Private,Kozhikode,Mysore
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),14:45,04h 45m,19:30,1.9,700,8 Seats available,Kozhikode_to_Mysore,234,8,AC,Sleeper,Private,Kozhikode,Mysore
Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,07h 00m,04:00,2.7,699,8 Seats available,Kozhikode_to_Mysore,235,8,AC,Sleeper,Private,Kozhikode,Mysore
PSK Travels,Bharat Benz A/C Sleeper (2+1),14:45,06h 45m,21:30,3.4,890,8 Seats available,Kozhikode_to_Mysore,236,8,AC,Sleeper,Private,Kozhikode,Mysore
NS Transports,VE A/C Sleeper (2+1),20:00,07h 30m,03:30,4.2,924,8 Seats available,Kozhikode_to_Mysore,237,8,AC,Sleeper,Private,Kozhikode,Mysore
MMK Travels,A/C Sleeper (2+1),21:00,06h 00m,03:00,4.3,850,8 Seats available,Kozhikode_to_Mysore,238,8,AC,Sleeper,Private,Kozhikode,Mysore
CITI TOURS,Bharat Benz A/C Sleeper (2+1),21:00,07h 30m,04:30,,1999,8 Seats available,Kozhikode_to_Mysore,239,8,AC,Sleeper,Private,Kozhikode,Mysore
SKS Tours & Travels,A/C Sleeper (2+1),21:00,07h 00m,04:00,4.2,849,8 Seats available,Kozhikode_to_Mysore,240,8,AC,Sleeper,Private,Kozhikode,Mysore
FAST LINE BUS,A/C Sleeper (2+1),21:15,06h 45m,04:00,4.1,2429,8 Seats available,Kozhikode_to_Mysore,241,8,AC,Sleeper,Private,Kozhikode,Mysore
Skylite Travels,A/C Sleeper (2+1),22:00,06h 00m,04:00,4.0,850,8 Seats available,Kozhikode_to_Mysore,242,8,AC,Sleeper,Private,Kozhikode,Mysore
KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),17:25,10h 30m,03:55,1.6,515,42 Seats available,Kozhikode_to_Thiruvananthapuram,243,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 2390,Low Floor AC Seater 2+2,17:30,10h 15m,03:45,2.9,723,42 Seats available,Kozhikode_to_Thiruvananthapuram,244,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),18:00,08h 55m,02:55,2.4,586,42 Seats available,Kozhikode_to_Thiruvananthapuram,245,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,09h 55m,04:25,4.1,742,42 Seats available,Kozhikode_to_Thiruvananthapuram,246,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 48,Swift Deluxe Non AC Air Bus (2+2),19:00,08h 40m,03:40,4.1,565,42 Seats available,Kozhikode_to_Thiruvananthapuram,247,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 2984,Super Fast Non AC Seater (2+3),19:20,10h 50m,06:10,3.3,502,42 Seats available,Kozhikode_to_Thiruvananthapuram,248,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 1919,Swift Deluxe Non AC Air Bus (2+2),20:10,09h 50m,06:00,2.9,565,42 Seats available,Kozhikode_to_Thiruvananthapuram,249,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,08h 40m,05:05,2.6,586,42 Seats available,Kozhikode_to_Thiruvananthapuram,250,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,10h 05m,06:35,2.9,742,42 Seats available,Kozhikode_to_Thiruvananthapuram,251,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,08h 00m,04:55,3.3,586,42 Seats available,Kozhikode_to_Thiruvananthapuram,252,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,11h 35m,08:35,3.5,515,42 Seats available,Kozhikode_to_Thiruvananthapuram,253,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,07h 50m,05:05,3.2,586,42 Seats available,Kozhikode_to_Thiruvananthapuram,254,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,09h 45m,07:10,2.9,586,42 Seats available,Kozhikode_to_Thiruvananthapuram,255,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,08h 45m,06:10,2.8,586,42 Seats available,Kozhikode_to_Thiruvananthapuram,256,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 44,Swift Deluxe Non AC Air Bus (2+2),21:50,08h 55m,06:45,4.0,565,42 Seats available,Kozhikode_to_Thiruvananthapuram,257,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 1100,AC MULTI AXLE,22:05,08h 10m,06:15,1.4,904,42 Seats available,Kozhikode_to_Thiruvananthapuram,258,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,10h 45m,09:50,2.9,515,42 Seats available,Kozhikode_to_Thiruvananthapuram,259,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 426,Super Express Non AC Seater Air Bus (2+2),23:15,08h 35m,07:50,2.9,545,42 Seats available,Kozhikode_to_Thiruvananthapuram,260,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 370,AC MULTI AXLE,23:20,09h 35m,08:55,1.7,986,42 Seats available,Kozhikode_to_Thiruvananthapuram,261,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 3532,Super Express Non AC Seater Air Bus (2+2),23:59,07h 21m,07:20,2.9,565,42 Seats available,Kozhikode_to_Thiruvananthapuram,262,42,AC,Seater,Public,Kozhikode,Thiruvananthapuram
Kalpaka Travels 1,A/C Sleeper (2+1),23:00,07h 51m,06:51,4.0,1000,42 Seats available,Kozhikode_to_Thiruvananthapuram,263,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),22:10,08h 20m,06:30,3.2,700,42 Seats available,Kozhikode_to_Thiruvananthapuram,264,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
BLM Transports,A/C Sleeper (2+1),22:00,09h 00m,07:00,3.5,855,42 Seats available,Kozhikode_to_Thiruvananthapuram,265,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,09h 00m,06:00,3.3,600,42 Seats available,Kozhikode_to_Thiruvananthapuram,266,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,08h 30m,08:00,3.1,900,42 Seats available,Kozhikode_to_Thiruvananthapuram,267,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
A1 Travels,A/C Seater / Sleeper (2+1),20:05,09h 25m,05:30,3.7,700,42 Seats available,Kozhikode_to_Thiruvananthapuram,268,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:15,08h 55m,08:10,3.9,949,42 Seats available,Kozhikode_to_Thiruvananthapuram,269,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
Madhavi Travels,A/C Sleeper (2+1),22:20,08h 40m,07:00,3.1,999,42 Seats available,Kozhikode_to_Thiruvananthapuram,270,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,08h 45m,06:30,3.0,700,42 Seats available,Kozhikode_to_Thiruvananthapuram,271,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,08h 00m,07:30,3.0,899,42 Seats available,Kozhikode_to_Thiruvananthapuram,272,42,Non AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
Madhavi Travels,A/C Semi Sleeper (2+2),23:30,08h 00m,07:30,3.0,799,42 Seats available,Kozhikode_to_Thiruvananthapuram,273,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,07h 30m,06:00,2.7,750,42 Seats available,Kozhikode_to_Thiruvananthapuram,274,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,08h 45m,06:30,2.8,650,42 Seats available,Kozhikode_to_Thiruvananthapuram,275,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,07h 30m,05:45,2.7,750,42 Seats available,Kozhikode_to_Thiruvananthapuram,276,42,AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,08h 00m,07:30,2.9,899,42 Seats available,Kozhikode_to_Thiruvananthapuram,277,42,Non AC,Sleeper,Private,Kozhikode,Thiruvananthapuram
KSRTC (Kerala) - 689,Super Fast Non AC Seater (2+3),16:15,03h 35m,19:50,3.2,181,41 Seats available,Kozhikode_to_Thrissur,278,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 726,Super Fast Non AC Seater (2+3),17:00,03h 20m,20:20,3.9,181,41 Seats available,Kozhikode_to_Thrissur,279,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 2716,Super Fast Non AC Seater (2+3),17:15,03h 30m,20:45,3.2,181,41 Seats available,Kozhikode_to_Thrissur,280,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),17:25,03h 20m,20:45,3.2,181,41 Seats available,Kozhikode_to_Thrissur,281,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 2390,Low Floor AC Seater 2+2,17:30,03h 30m,21:00,3.2,253,41 Seats available,Kozhikode_to_Thrissur,282,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),18:00,02h 50m,20:50,1.7,216,41 Seats available,Kozhikode_to_Thrissur,283,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,18:00,03h 20m,21:20,2.3,253,41 Seats available,Kozhikode_to_Thrissur,284,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,03h 05m,21:35,3.3,253,41 Seats available,Kozhikode_to_Thrissur,285,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 48,Swift Deluxe Non AC Air Bus (2+2),19:00,02h 35m,21:35,3.2,216,41 Seats available,Kozhikode_to_Thrissur,286,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 814,Super Fast Non AC Seater (2+3),19:15,03h 30m,22:45,3.2,181,41 Seats available,Kozhikode_to_Thrissur,287,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 2984,Super Fast Non AC Seater (2+3),19:20,03h 40m,23:00,3.2,181,41 Seats available,Kozhikode_to_Thrissur,288,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 1956,Super Fast Non AC Seater (2+3),20:00,03h 30m,23:30,3.2,181,41 Seats available,Kozhikode_to_Thrissur,289,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 1919,Swift Deluxe Non AC Air Bus (2+2),20:10,03h 00m,23:10,3.2,216,41 Seats available,Kozhikode_to_Thrissur,290,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,02h 35m,23:00,2.5,216,41 Seats available,Kozhikode_to_Thrissur,291,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,03h 05m,23:35,3.7,253,41 Seats available,Kozhikode_to_Thrissur,292,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 3398,Super Fast Non AC Seater (2+3),20:30,03h 30m,00:00,3.2,174,41 Seats available,Kozhikode_to_Thrissur,293,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 424,Super Fast Non AC Seater (2+3),20:30,03h 45m,00:15,3.2,181,41 Seats available,Kozhikode_to_Thrissur,294,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 567,Super Express Non AC Seater Air Bus (2+2),20:45,03h 45m,00:30,3.2,201,41 Seats available,Kozhikode_to_Thrissur,295,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,02h 35m,23:30,3.2,216,41 Seats available,Kozhikode_to_Thrissur,296,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 3294,Super Fast Non AC Seater (2+3),21:00,04h 00m,01:00,3.2,181,41 Seats available,Kozhikode_to_Thrissur,297,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,03h 30m,00:30,3.2,181,41 Seats available,Kozhikode_to_Thrissur,298,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 815,Super Fast Non AC Seater (2+3),21:10,03h 45m,00:55,3.2,181,41 Seats available,Kozhikode_to_Thrissur,299,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,02h 25m,23:40,3.2,216,41 Seats available,Kozhikode_to_Thrissur,300,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 1378,AC MULTI AXLE,21:25,03h 20m,00:45,3.2,360,41 Seats available,Kozhikode_to_Thrissur,301,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,02h 40m,00:05,3.2,216,41 Seats available,Kozhikode_to_Thrissur,302,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,03h 30m,00:55,3.2,216,41 Seats available,Kozhikode_to_Thrissur,303,41,AC,Seater,Public,Kozhikode,Thrissur
KSRTC (Kerala) - 2454,Low Floor AC Seater 2+2,21:40,03h 05m,00:45,3.2,253,41 Seats available,Kozhikode_to_Thrissur,304,41,AC,Seater,Public,Kozhikode,Thrissur
